Timestamp,What is your profession? ,Please indicate your gender,BEFORE the Covid-19 pandemic (before March 1st 2020)?,"DURING the Covid-19 pandemic (during March 1st to August 31st, 2020)?",BEFORE the Covid-19 pandemic (before March 1st 2020)?,"DURING the Covid-19 pandemic (during March 1st to August 31st, 2020)?",How many people in Kerala do you financially support with your income?,How important is it for you to send money back to Kerala?, I send money to Kerala:,When the exchange rate is high (1 AED yields more INR):, I send money home:,"BEFORE the Covid-19 pandemic (before March 1st, 2020)?","DURING the Covid-19 pandemic (from March 1st to August 31st, 2020)?","BEFORE the Covid-19 pandemic (before March 1st, 2020)?","DURING the Covid-19 pandemic(from March 1st to August 31st, 2020)?","CEREALS & PULSES (Cereals and Pulses are items like Rice, Wheat, Bread, Maida, Rava, Dal varieties, et cetera) ","ANIMAL PROTEIN (Animal Protein is items like Chicken, Duck, Mutton, Beef, Fish, Eggs, etc) ","DAIRY PRODUCTS (Dairy Products are items like Milk, Yoghurt, Laban, Cheese, Labneh, Paneer, etc) ",Fruits and Vegetables,"PREPARED MEALS (Prepared Meals are items like Cup noodles, Heat & eat items like packaged curries, Maggi, Frozen chapati/paratha, Khubhus, Readymade idli/ appam batter, Restaurant take away/dine in, etc)  ","SWEETS AND SNACKS (Sweets and Snacks are items like Bakery items, Ice-cream, Chocolates, etc) ","PERSONAL CARE AND EFFECTS (Personal Care and Effects are items like Clothing, Footwear, Ornaments, Soap, Visiting Barber/beautician, etc) ","HOUSING RELATED EXPENDITURES (Housing Related expenditures are expenses like Housing Rent, Electricity Bill, Water Bill, etc)","HEALTHCARE (Healthcare includes expenses like Medicine fees, Doctor’s fees, Purchasing of medical equipment, Homeo medicines, etc)","TRANSPORTATION EXPENSES (Transportation expenses include expenses like Bus fare, Taxi fare, Petrol/Diesel costs, airplane fare, etc)","COMMUNICATION EXPENSES (Communication Expenses include expenses like Phone bills, Postage expenses, Internet expenses, etc)","RECREATION AND AMUSEMENT (Recreation and Amusement includes expenses like Cable connection fees, Newspapers, Playing Cards, carrom boards, etc)","HOUSEHOLD GOODS AND SERVICES (Household Goods and Services include items like Furniture, Bedding, Appliances like TV, Fridge, Washing machine, Stove, et cetera)"
7/22/2021 17:11:36,Administrative Clerk,Female,"5,001-10,000 AED","5,001-10,000 AED","Housing, Transportation (Bus pass, fuel, etc)","Housing, Transportation (Bus pass, fuel, etc)",0,Unimportant (Family can support basic necessities even without my remittance),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to my family in Kerala,In bulk amounts infrequently,80,80,80,80,Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),No change,No change,Highly decreased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),No change
7/22/2021 17:46:12,Administrative assistant,Male,"10,001-15,000 AED","10,001-15,000 AED","Housing, Healthcare, Transportation (Buss pass, fuel, etc)","Housing, Healthcare, Transportation (Buss pass, fuel, etc)",4,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to my family in Kerala,Once a month,50,50,50,50,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),No change,No change
7/22/2021 19:52:30,Accountant,Female,"15,001-20,000 AED","15,001-20,000 AED",None,None,4,Unimportant (Family can support basic necessities even without my remittance),Both,I send more money to my family in Kerala,When requested by family in Kerala,10 percent,20-30%,20%,30-40%,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -500 AED),No change,Highly decreased (by more than 50 AED),Highly increased (by more than 50 AED),No change,Highly decreased (by more than 500 AED)
7/22/2021 19:59:17,Accountant,Female,"15,001-20,000 AED","15,001-20,000 AED",None,None,4,Unimportant (Family can support basic necessities even without my remittance),Both,I send more money to my family in Kerala,When requested by family in Kerala,10 percent,20-30%,20%,30-40%,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -500 AED),No change,Highly decreased (by more than 50 AED),Highly increased (by more than 50 AED),No change,Highly decreased (by more than 500 AED)
7/22/2021 20:00:46,Marketing executive,Male,"10,001-15,000 AED",,"Healthcare, Transportation (Buss pass, fuel, etc)","Healthcare, Transportation (Buss pass, fuel, etc)",2,Unimportant (Family can support basic necessities even without my remittance),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to my family in Kerala,In small amounts frequently,25,25,10,5,No change,No change,No change,No change,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),No change,No change,Slightly decreased (by 1 -50 AED),No change,Highly decreased (by more than 50 AED),No change
7/22/2021 20:11:26,Logistics,Female,"10,001-15,000 AED","10,001-15,000 AED","Communication (phone bills, Internet connection, etc)","Communication (phone bills, Internet connection, etc)",4,Very Important (Family is totally dependent on my remittances),Both,The amount I send to my family in Kerala does not change,Once a month,0,0,Nil,Nil,No change,No change,No change,No change,No change,No change,Highly increased (by more than 50 AED),No change,Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 500 AED)
7/22/2021 20:36:03,Logistics ,Male,"10,001-15,000 AED","5,001-10,000 AED		","Utilities (any one or more of electricity, water ), Transportation (Bus pass, fuel, etc)",,3,Very Important (Family is totally dependent on my remittances),Both,The amount I send to my family in Kerala does not change,Once a month,20,0,30,10,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,Highly increased (by more than 100 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 500 AED)
7/22/2021 20:38:36,Administrative assistant,Female,"10,001-15,000 AED","10,001-15,000 AED",Healthcare,Healthcare,1,Important (Family has some income but depends on my remittance to pull through),Both,The amount I send to my family in Kerala does not change,In bulk amounts infrequently,50,65,30,40,No change,No change,Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,No change,Highly decreased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
7/22/2021 20:38:58,Accountant,Female,"5,001-10,000 AED","2,500-5,000 AED","Housing, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",,5,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to my family in Kerala,Once a month,40,15,20,10,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),No change,Slightly Increased (by 1 -100 AED),No change,Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -500 AED)
7/22/2021 20:41:08,Purchaser,Male,"10,001-15,000 AED","5,001-10,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc)",Healthcare,4,Very Important (Family is totally dependent on my remittances),Both,I send more money to my family in Kerala,Once a month,35,20,30,10,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change
7/22/2021 20:43:18,Customer service ,Female,"5,001-10,000 AED","2,500-5,000 AED","Housing, Healthcare",Healthcare,2,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to my family in Kerala,Once a month,15,0,20,10,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),No change,No change,No change,Slightly decreased (by 1 -50 AED),No change,No change,No change
7/22/2021 20:43:54,Artist,Male,"5,001-10,000 AED","5,001-10,000 AED",None,None,2,Very Unimportant (Family is capable to live without my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to my family in Kerala,When requested by family in Kerala,10%,0%,30%,0,Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -500 AED),No change,Highly decreased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),No change
7/22/2021 20:45:42,Sales manager,Male,"15,001-20,000 AED","5,001-10,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Healthcare, Communication (phone bills, Internet connection, etc)",4,Very Important (Family is totally dependent on my remittances),Both,I send more money to my family in Kerala,Once a month,25,0,40,10,No change,No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,No change,Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),No change,No change
7/22/2021 20:48:32,Engineer ,Female,"5,001-10,000 AED","2,500-5,000 AED",Healthcare,Healthcare,3,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",The amount I send to my family in Kerala does not change,When requested by family in Kerala,35,10,40,15,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
